"venue_id","venue_name","venue_address","venue_city","venue_state","venue_country","venue_postal_code","venue_latitude","venue_longitude","seatmap_url","parking_info","current_date"
"KovZpZA6AJ7A","The Pageant","6161 Delmar","Saint Louis","MO","US","63112","38.655624","-90.297912","https://maps.ticketmaster.com/maps/geometry/3/event/060060F79E4C4EA2/staticImage?type=png&systemId=HOST","Free parking as well as street parking is available throughout the surrounding area. Please note that not all private lots allow public parking and St. Louis City parking laws do apply.","2024-10-22"
"KovZpZAdEEnA","Ocean Center","101 North Atlantic Ave","Daytona Beach","FL","US","32118","29.228162","-81.0119689","https://mapsapi.tmol.io/maps/geometry/3/event/22006143E2B66F5B/staticImage?type=png&systemId=HOST","North side of the building in the parking garage. Parking Fee is Flat $ 5.00 for event parking. For special events, such as Bike Week and Speed Week, both parking garage and South lot is a flat fee of $10.","2024-10-22"
"KovZpZAdJ16A","Reverb","1402 N. 9th St","Reading","PA","US","19604","40.3563327","-75.9196123","https://mapsapi.tmol.io/maps/geometry/3/event/0200610EEBCF7629/staticImage?type=png&systemId=HOST","Located in the city of Reading, only 1/2 mile from Albright College. The club has 250 parking spaces on the club's parking lot, street parking is also available.","2024-10-22"
"KovZpZAEAkEA","Saint Andrew's Hall","431 E Congress St","Detroit","MI","US","48226","42.3323449","-83.041464","https://mapsapi.tmol.io/maps/geometry/3/event/08006139C9A63CC2/staticImage?type=png&systemId=HOST","We have partnered with ParkWhiz to offer easy and reliable parking options! To book parking visit: https://www.parkwhiz.com/saint-andrew-s-hall-parking?pwa=pa-1269&utm_medium=LiveNation&utm_source=1269&utm_campaign=Web_LN_ParkingPage_VenueLink","2024-10-22"
"KovZ917AOz0","The Masquerade - Hell","92 Pryor Street SW","Atlanta","GA","US","30303","33.75184","-84.389887","https://mapsapi.tmol.io/maps/geometry/3/event/0E0060A19FE739CD/staticImage?type=png&systemId=HOST","There are several parking decks and surface lots in the area ranging from $5-$15. Closest parking is located at 75 Martin Luther King Jr. Dr, SW, Atlanta, GA 30303.","2024-10-22"
"KovZpZAEkAvA","Yuengling Center","4202 East Fowler Ave","Tampa","FL","US","33620","28.0587114","-82.4154987","https://maps.ticketmaster.com/maps/geometry/3/event/0D006109C2F2256C/staticImage?type=png&systemId=HOST","Parking is located on site. Prices vary per event.","2024-10-22"
"KovZpZAJJtIA","Payne Arena","2600 N. 10th Street (Hwy 336)","Hidalgo","TX","US","78557","26.1201178","-98.2443992","https://mapsapi.tmol.io/maps/geometry/3/event/3A0060B9D2165F13/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAEF76A","Golden 1 Center","500 David J Stern Walk","Sacramento","CA","US","95814","38.580372","-121.500231","https://mapsapi.tmol.io/maps/geometry/3/event/1C00611699902B3D/staticImage?type=png&systemId=HOST","Parking available in downtown parking lots and surface street parking. Please visit https://reserve.sacpark.org/ for additional information.","2024-10-22"
"KovZpZAEAl6A","The Wiltern","3790 Wilshire Blvd.","Los Angeles","CA","US","90010","34.06141494","-118.30879207","https://mapsapi.tmol.io/maps/geometry/3/event/090061078F0517CE/staticImage?type=png&systemId=HOST","There are several parking lots in the area. The most convenient lot is the Ralph's parking structure located south and east of the theatre on Oxford street. Enter only thru the Northern entrance- not the Ralphs entrance. Parking is generally $20 per car","2024-10-22"
"KovZpZAEktdA","The Foundry","29 E Allen Street","Philadelphia","PA","US","19123","39.96477","-75.134457","https://mapsapi.tmol.io/maps/geometry/3/event/02006102A5699290/staticImage?type=png&systemId=HOST","There is no street parking. Parking lots are located behind the venue. Please allow yourself time to park prior to the event.","2024-10-22"
"KovZpZAJEFJA","Germania Insurance Amphitheater","9201 Circuit of the Americas Blvd.","Austin","TX","US","78617","30.13538","-97.63801","https://mapsapi.tmol.io/maps/geometry/3/event/3A0060F7E6737F8E/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAEAkEA","Saint Andrew's Hall","431 E Congress St","Detroit","MI","US","48226","42.3323449","-83.041464","https://mapsapi.tmol.io/maps/geometry/3/event/080060FAC96747CA/staticImage?type=png&systemId=HOST","We have partnered with ParkWhiz to offer easy and reliable parking options! To book parking visit: https://www.parkwhiz.com/saint-andrew-s-hall-parking?pwa=pa-1269&utm_medium=LiveNation&utm_source=1269&utm_campaign=Web_LN_ParkingPage_VenueLink","2024-10-22"
"KovZpZAIvlIA","The Cambridge Room at House Of Blues","2200 N Lamar St","Dallas","TX","US","75202","32.785033","-96.80825","https://mapsapi.tmol.io/maps/geometry/3/event/0C00610EE20E47EC/staticImage?type=png&systemId=HOST","Convenient and accessible parking is available locally.","2024-10-22"
"KovZpZAF6eJA","Nashville Municipal Auditorium","417 4th Avenue North","Nashville","TN","US","37201","36.1562716","-86.7741112","https://mapsapi.tmol.io/maps/geometry/3/event/1B006109FB218B30/staticImage?type=png&systemId=HOST","Parking For most NMA events, $5 parking is available at the Metro Courthouse Garage, 101 James Robertson Parkway after 6pm on Friday and all day on Saturday and Sunday. For more information on the garage, please call 615-244-2330 or visit parkitdowntown.com. Meters are free starting at 6pm Monday-Saturday and all day Sunday.","2024-10-22"
"KovZ917Ai5U","White Oak Music Hall - Upstairs ","2915 N Main St,","Houston","TX","US","77009","29.78627","-95.36562","https://mapsapi.tmol.io/maps/geometry/3/event/3A00613608126C3B/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAEAIlA","House of Blues Chicago","329 N Dearborn St","Chicago","IL","US","60654","41.88811537","-87.62931962","https://mapsapi.tmol.io/maps/geometry/3/event/040060D2EBF23230/staticImage?type=png&systemId=HOST","Valet parking available in the Marina City complex, located at the main entrance to the House of Blues. Reduced rate parking is offered to Foundation Room Members. Pre-Reserve nearby parking at: www.parkwhiz.com","2024-10-22"
"KovZ917AxY0","The Echo Lounge & Music Hall","1323 N. Stemmons Fwy. ","Dallas","TX","US","75207","32.790548","-96.814464","https://mapsapi.tmol.io/maps/geometry/3/event/0C006109AE8E3F0A/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917Ax13","Roxian Theatre","425 Chartiers Ave","Mc Kees Rocks","PA","US","15136","40.464828","-80.058873","https://mapsapi.tmol.io/maps/geometry/3/event/160060AAC3F26E8D/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917Ahxb","The Met Presented by Highmark","858 N Broad St","Philadelphia","PA","US","19130","39.969938","-75.160278","https://mapsapi.tmol.io/maps/geometry/3/event/02006109BA9A58FF/staticImage?type=png&systemId=HOST","VIP Parking Passes will grant you access to Lot A at Broad and Poplar St Preferred Parking Passes will grant you access to Lot D at Broad and Melon St ***Lot A Opens 1 hour before doors*** ***Lot D Opens at 6pm on weeknights regardless of show time, Open at 4:30PM on Weekends***","2024-10-22"
"KovZpZAJEavA","Aztec Theatre ","104 North St. Mary's Street","San Antonio","TX","US","78205","29.42471628","-98.49110126","https://mapsapi.tmol.io/maps/geometry/3/event/3A006108EA2D41E4/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAaE7kA","High Noon Saloon","701 East Washington Avenue","Madison","WI","US","53703","43.0797365","-89.3765191","https://mapsapi.tmol.io/maps/geometry/3/event/070060C6C3012BAB/staticImage?type=png&systemId=HOST","South Livingston Street Garage - 111 S Livingston St, Madison, WI 53703. $8-$10 event parking. There is also plenty of free street parking in the area around the High Noon Saloon. Some street parking has an unmetered 2 hour limit so pay attention to signs. The High Noon Saloon is also about a 10 minute walk from the parking ramps located around Capitol Square.","2024-10-22"
"KovZpZAF6JkA","The Observatory","3503 S. Harbor Blvd.","Santa Ana","CA","US","92704","33.6997648","-117.9175717","https://mapsapi.tmol.io/maps/geometry/3/event/090060FD00597E53/staticImage?type=png&systemId=HOST","Adjacent lot / no charge","2024-10-22"
"KovZ917AtP3","Barclays Center","620 Atlantic Ave","Brooklyn","NY","US","11217","40.68285","-73.97519","https://mapsapi.tmol.io/maps/geometry/3/event/3000610C0C87410C/staticImage?type=png&systemId=HOST","Parking at Barclays Center is very limited. For more information on parking garages in the area, please go to: https://www.barclayscenter.com/getting-here/parking","2024-10-22"
"KovZpZAJEavA","Aztec Theatre ","104 North St. Mary's Street","San Antonio","TX","US","78205","29.42471628","-98.49110126","https://mapsapi.tmol.io/maps/geometry/3/event/3A0061095A8E102C/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAJJtIA","Payne Arena","2600 N. 10th Street (Hwy 336)","Hidalgo","TX","US","78557","26.1201178","-98.2443992","https://mapsapi.tmol.io/maps/geometry/3/event/3A006110A91D73CF/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZA6tFlA","The Fillmore Silver Spring","8656 Colesville Road","Silver Spring","MD","US","20910","38.99734055","-77.02746183","https://mapsapi.tmol.io/maps/geometry/3/event/150060A8E70C5A12/staticImage?type=png&systemId=HOST","Downtown Silver Spring has several public parking options. The closest garages to the venue are Garage 2 and Garage 61 listed here: https://www.montgomerycountymd.gov/DOT-Parking/Parking-Facilities/SilverSpringPLD.html Additionally, The Fillmore Silver Spring has partnered with ParkWhiz to offer other easy and reliable options to book parking.","2024-10-22"
"KovZ917ALJx","Fillmore New Orleans","6 Canal St","New Orleans","LA","US","70130","29.949399","-90.064806","https://mapsapi.tmol.io/maps/geometry/3/event/1B00613476951D04/staticImage?type=png&systemId=HOST","The Fillmore New Orleans has partnered with ParkWhiz to offer easy and reliable options for event parking. Please visit parkwhiz.com to book parking.","2024-10-22"
"KovZpZAFF1tA","Center Stage Theater","1374 W Peachtree St. NW","Atlanta","GA","US","30309","33.7918926","-84.3877907","https://maps.ticketmaster.com/maps/geometry/3/event/0E006114B07A3271/staticImage?type=png&systemId=HOST","Elite Parking (garage underneath venue) $10.00","2024-10-22"
"KovZ917APwH","713 Music Hall","401 Franklin Street","Houston","TX","US","77201","29.76539","-95.36416","https://mapsapi.tmol.io/maps/geometry/3/event/3A006110ADA774F6/staticImage?type=png&systemId=HOST","Limited on-site parking for the POST building including 713 Music Hall. PSS and VIP parking located at entrance on Franklin and Congress. Rideshare is encouraged. Street parking is free after 6pm; there are parking garages/lots near the venue. Including but not limited to, Theater District Garage on Rusk and Lyric Garage on Preston. Credit cards only for on-site parking.","2024-10-22"
"KovZpZA1eEJA","Shreveport Municipal Memorial Auditorium","705 Elvis Presley Blvd.","Shreveport","LA","US","71101","32.5078241","-93.7534706","https://mapsapi.tmol.io/maps/geometry/3/event/1B00611EB64876BC/staticImage?type=png&systemId=HOST","The Shreveport Municipal Auditorium has two complimentary parking lots for your convenience. • South side of the building, located on Elvis Presley Ave. • North side of the building, located across Milam Street behind First United Methodist Church. • Handicap parking is available on both sides.","2024-10-22"
"KovZ917AmQG","The Masquerade  - Altar","50 Lower Alabama Street","Atlanta","GA","US","30303","33.75202","-84.38945","https://mapsapi.tmol.io/maps/geometry/3/event/0E00611BA7653503/staticImage?type=png&systemId=HOST","There are several parking decks and surface lots in the area ranging from $5-$15. Closest parking is located at 75 Martin Luther King Jr. Dr, SW, Atlanta, GA 30303.","2024-10-22"
"KovZ917AtO3","Miami Beach Bandshell","7275 Collins Ave","Miami Beach","FL","US","33141","25.8583","-25.85829618","https://maps.ticketmaster.com/maps/geometry/3/event/0D0061079C5C1383/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917AmQG","The Masquerade  - Altar","50 Lower Alabama Street","Atlanta","GA","US","30303","33.75202","-84.38945","https://mapsapi.tmol.io/maps/geometry/3/event/0E0060E29FFB2872/staticImage?type=png&systemId=HOST","There are several parking decks and surface lots in the area ranging from $5-$15. Closest parking is located at 75 Martin Luther King Jr. Dr, SW, Atlanta, GA 30303.","2024-10-22"
"KovZpZA77ldA","Brooklyn Paramount","385 Flatbush Ave. Extension","Brooklyn","NY","US","11201","40.69137302","-73.98124051","https://mapsapi.tmol.io/maps/geometry/3/event/0000612CD3E78D22/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917AEJz","MGM Music Hall at Fenway","2 Lansdowne St.","Boston","MA","US","02215","42.346806","-71.097272","https://mapsapi.tmol.io/maps/geometry/3/event/010060D4B3624E20/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917ACi0","Daily's Place","1 Daily's Place","Jacksonville","FL","US","32202","30.323925","-81.637323","https://mapsapi.tmol.io/maps/geometry/3/event/220060AFE79624F8/staticImage?type=png&systemId=HOST","Parking is included with your ticket purchase at Dailyâ€™s Place unless otherwise noted on the event. Parking is located in LOT J. The parking lot will open 3 hours prior to the show.","2024-10-22"
"KovZ917AEJz","MGM Music Hall at Fenway","2 Lansdowne St.","Boston","MA","US","02215","42.346806","-71.097272","https://mapsapi.tmol.io/maps/geometry/3/event/0100612CD1E59440/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAt7E1A","Encore at Uptown Theater","3700 Broadway","Kansas City","MO","US","64111","39.061132","-94.590737","https://maps.ticketmaster.com/maps/geometry/3/event/060060D59DD851D9/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpaFIme","House of Blues Orlando","1490 East Lake Buena Vista Dr","Orlando","FL","US","32830","28.370393","-81.504616","https://mapsapi.tmol.io/maps/geometry/3/event/220060C611E224A0/staticImage?type=png&systemId=HOST","Location: on site Charge: none","2024-10-22"
"KovZ917APep","Brooklyn Bowl Nashville","925 3rd Ave N","Nashville","TN","US","37201","36.173214","-86.783632","https://mapsapi.tmol.io/maps/geometry/3/event/1B00611CFA22768B/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAE7IJA","Iron City","513 22nd Street South","Birmingham","AL","US","35233","33.508899","-86.797919","https://mapsapi.tmol.io/maps/geometry/3/event/200060FDEE282375/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAJeFkA","Marquis","2009 Larimer St","Denver","CO","US","80205","39.753332","-104.992516","https://mapsapi.tmol.io/maps/geometry/3/event/1E0060DCE51971C7/staticImage?type=png&systemId=HOST","Metered Parking all along Larimer St., Lot Parking behind the venue, next to venue, and across the street from Venue.","2024-10-22"
"KovZpZAaltvA","Majestic Theatre","115 King St.","Madison","WI","US","53703","43.074566","-89.380978","https://mapsapi.tmol.io/maps/geometry/3/event/0700611ADA122CE6/staticImage?type=png&systemId=HOST","There are numerous parking ramps located around Capitol Square. $8-$10 event parking. Block 89 Parking Ramp 10 E Doty St, Madison, WI 53703 Wilson Street Garage 20 E Wilson St, Madison, WI 53703","2024-10-22"
"KovZpapwne","Brighton Music Hall presented by Citizens","158 Brighton Avenue","Boston","MA","US","02134","42.3528999","-71.1326128","https://mapsapi.tmol.io/maps/geometry/3/event/010060FFBF678634/staticImage?type=png&systemId=HOST","Limited street parking is available, and parking vouchers for the parking lot located at 181 Brighton Ave may be purchased on Ticketmaster if you also purchase a ticket for the corresponding night’s show at Brighton Music Hall. A parking attendant will scan your paper or mobile phone parking voucher. You will not be admitted to the lot if you do not provide a valid voucher. You may park your vehicle in a spot at the far left side of the lot as directed by the parking attendant from 1 hour before show until 1 hour after the Brighton Music Hall show ends or 2:30am, whichever comes first. Your vehicle is subject to towing after this time. Neither Brighton Music Hall nor Hallston Realty Associates are responsible and neither assumes liability for any loss or damage to your vehicle or items left in your vehicle, whether resulting from fire, theft or other cause. Tailgating is not permitted on the lot.","2024-10-22"
"KovZpZAEkedA","The Fillmore Miami Beach at Jackie Gleason Theater","1700 Washington Ave","Miami Beach","FL","US","33139","25.792917","-80.13314","https://mapsapi.tmol.io/maps/geometry/3/event/0D006151D7824F8C/staticImage?type=png&systemId=HOST","VALET - $35.00 plus gratuity - Entrance is on Washington Ave. Pull into the circle driveway (Jackie Gleason Dr) to the valet stand. Valet opens approximately 2.5 hours prior to show scheduled start time and closes after the show concludes. Valet is open for most ticketed concerts on the main stage, however valet parking may not be available for all events at The Fillmore Miami Beach. Please check directly with the venue a few days prior to the scheduled event. There are large municipal parking garages located nearby. Prices vary from one lot to the next. Download the ParkMe app for free to help in finding open lots, pricing and availability! On street parking is also available in some areas nearby. Please pay close attention to any parking restrictions.","2024-10-22"
"KovZpZAFadlA","Greek Theatre-U.C. Berkeley","2001 Gayley Road","Berkeley","CA","US","94720","37.8740742","-122.2555418","https://mapsapi.tmol.io/maps/geometry/3/event/1C0060BDFD9E6083/staticImage?type=png&systemId=HOST","There is limited parking in and around the Greek Theatre. All lots are controlled and operated by UC Berkeley Parking & Traffic. Please plan accordingly to allow for the time necessary to find parking, as well as the time it may take to walk the necessary distance to the Greek Theatre. The closest parking structure to the Greek Theatre is located at Hearst Avenue and Gayley Road/La Loma Avenue. Other parking structures include the Lower Hearst parking lot located along Hearst Avenue between Euclid Avenue and Scenic Avenue and the Underhill Parking Structure located along College Avenue between Channing Way and Haste Street. Disabled parking is available at Upper Hearst parking garage at the corner of Hearst Ave and Gayley Road (there are two DP spaces on the lowest level entering from Hearst Ave, and several more DP spaces on the third level entering from Gayley Road). Upper Hearst parking garage has the best path of travel (one relatively level block) from the parking area to the Greek Theater. Please note that there is a curbside drop-off area on Gayley Road just north of the Greek Theater entrance for passengers with mobility disabilities who prefer to minimize the travel distance to the Greek Theatre.","2024-10-22"
"KovZ917A58V","The Bronze Peacock at House of Blues Houston","1204 Caroline Street","Houston","TX","US","77002","29.753929","-95.364056","https://mapsapi.tmol.io/maps/geometry/3/event/3A00610D7BBC1432/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAE6e6A","Premier Theater at Foxwoods Resort Casino","39 Norwich Westerly Road","Ledyard","CT","US","06339","41.4783608","-71.9630872","https://mapsapi.tmol.io/maps/geometry/3/event/1D00612B9AEA1157/staticImage?type=png&systemId=HOST","Location : On Site","2024-10-22"
"KovZpZAantEA","The Blue Note","17 N 9th St","Columbia","MO","US","65201","38.952184","-92.327842","https://mapsapi.tmol.io/maps/geometry/3/event/0600611DF6BE7BE8/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917AxAB","The Observatory North Park","2891 University Ave","San Diego","CA","US","92104","32.748097","-117.131213","https://mapsapi.tmol.io/maps/geometry/3/event/0B006107BF6619A4/staticImage?type=png&systemId=HOST","Parking is available at the parking structure directly across the street on 29th St. Please make sure to get your parking validation from the parking lot attendant by showing your ticket. First come, first serve basis.","2024-10-22"
"KovZpZAEk7EA","Mercury Ballroom","611 S 4th Street","Louisville","KY","US","40202","38.24851446","-85.75788997","https://mapsapi.tmol.io/maps/geometry/3/event/160060EBF10E4589/staticImage?type=png&systemId=HOST","There is The Clay Commons Garage and the Fifth St. garage and after hours parking on the streets. Additionally, Mercury Ballroom has partnered with ParkWhiz to offer other easy & reliable options. To book parking: https://www.parkwhiz.com/the-mercury-ballroom-parking/?utm_medium=LiveNation&utm_source=1269&utm_campaign=Web_LN_ParkingPage_VenueLink","2024-10-22"
"KovZ917A3Y7","The Anthem","901 Wharf St SW","Washington","DC","US","20024","38.880099","-77.026165","https://mapsapi.tmol.io/maps/geometry/3/event/15006109B79C29ED/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZ917A2k0","The Peppermint Club","8713 Beverly Blvd","Los Angeles","CA","US","90048","34.076851","-118.381072",,,"2024-10-22"
"KovZ917Acq0","Intuit Dome","3930 West Century Blvd","Inglewood","CA","US","90303","33.94432","-118.34285","https://mapsapi.tmol.io/maps/geometry/3/event/09006117D6BE48D4/staticImage?type=png&systemId=HOST","Intuit Dome has on site parking, parking options are available through Ticketmaster.com","2024-10-22"
"KovZpZA6kvIA","Hampton Coliseum","1000 Coliseum Drive ","Hampton","VA","US","23666","37.0340879","-76.380428","https://mapsapi.tmol.io/maps/geometry/3/event/01006110E59293FB/staticImage?type=png&systemId=HOST","On site, patrolled, and well-lit parking is available. Accessible parking is available with appropriate placards. Parking is free for most events.","2024-10-22"
"KovZpZAE6k1A","House of Blues Houston","1204 Caroline Street","Houston","TX","US","77002","29.75377797","-95.36381697","https://mapsapi.tmol.io/maps/geometry/3/event/3A00610897CA1F88/staticImage?type=png&systemId=HOST","Greenstreet Parking Garage on Polk/Main","2024-10-22"
"KovZ917AJpQ","Encore","5851 E Speedway Blvd","Tucson","AZ","US","85712","40.741895","-73.989308","https://maps.ticketmaster.com/maps/geometry/3/event/190060F6DE343400/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAEAkEA","Saint Andrew's Hall","431 E Congress St","Detroit","MI","US","48226","42.3323449","-83.041464","https://mapsapi.tmol.io/maps/geometry/3/event/080060AAA5344891/staticImage?type=png&systemId=HOST","We have partnered with ParkWhiz to offer easy and reliable parking options! To book parking visit: https://www.parkwhiz.com/saint-andrew-s-hall-parking?pwa=pa-1269&utm_medium=LiveNation&utm_source=1269&utm_campaign=Web_LN_ParkingPage_VenueLink","2024-10-22"
"KovZpZAEAIlA","House of Blues Chicago","329 N Dearborn St","Chicago","IL","US","60654","41.88811537","-87.62931962","https://maps.ticketmaster.com/maps/geometry/3/event/040060F7E3FB283B/staticImage?type=png&systemId=HOST","Valet parking available in the Marina City complex, located at the main entrance to the House of Blues. Reduced rate parking is offered to Foundation Room Members. Pre-Reserve nearby parking at: www.parkwhiz.com","2024-10-22"
"KovZ917AxzU","Stubb's Waller Creek Amphitheater","801 Red River","Austin","TX","US","78701","30.268487","-97.736192","https://mapsapi.tmol.io/maps/geometry/3/event/3A0060BDA370397B/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAJJEdA","Frost Bank Center","1 Frost Bank Center Drive","San Antonio","TX","US","78219","29.4330386","-98.4337987","https://mapsapi.tmol.io/maps/geometry/3/event/3A006116F6E36DA6/staticImage?type=png&systemId=HOST","Onsite parking is available in Lots 1, 2,3,4, 5 and 6 and is sold based on availability by event. Parking passes can be purchased online at www.ticketmaster.com or the Ticketmaster App. Limited availability is sold at the Frost Bank Center Box Office. If guests have not pre-purchased parking, some lots may be available to purchase on arrival. Prices range from $15 to $25 based on event. All parking transactions are valid debit and credit cards only.","2024-10-22"
"KovZpZAEAIaA","Theatre of Living Arts","334 South St","Philadelphia","PA","US","19147","39.941305","-75.148678","https://mapsapi.tmol.io/maps/geometry/3/event/020060A8C65E62FB/staticImage?type=png&systemId=HOST","Limited street parking. Commercial lots on 5th and Bainbridge Streets. Cash only.","2024-10-22"
"KovZpZA1tn1A","The Loft","1374 West Peachtree St.","Atlanta","GA","US","30309","33.7918926","-84.3877907","https://mapsapi.tmol.io/maps/geometry/3/event/0E00613EA741334B/staticImage?type=png&systemId=HOST",,"2024-10-22"
"KovZpZAJvttA","The Belasco","1050 South Hill Street","Los Angeles","CA","US","90015","34.04024506","-118.2592392","https://mapsapi.tmol.io/maps/geometry/3/event/090060FAD6C87DF9/staticImage?type=png&systemId=HOST","We are surrounded by a number of parking lots within easy walking distance in addition to metered street parking at varying prices between $5 - $25. The nearest parking lots are: 1002 South Hill Street (to the left of The Mayan and The Belasco) and Unified Parking: 1017 South Hill Street (across the street from The Belasco). Parking meters are available on 11th Street and Hill Street (and other surrounding streets) for varying time limits. Scooter parking is free for Lime, Bird, etc.","2024-10-22"
"KovZpZAJk71A","San Jose Civic","135 San Carlos St.","San Jose","CA","US","95113","37.33046417","-121.88966811","https://mapsapi.tmol.io/maps/geometry/3/event/1C0060BDDB054EBA/staticImage?type=png&systemId=HOST","*San Jose McEnry Convention Center 150 W. San Carlos Street (408) 794-1090 Entrances on Almaden Blvd. and Market Street Open 24 hours 1140 spaces *CityView Plaza Garage - 115 S. Market St. (408) 293-6115 1088 spaces *Almaden/Woz Lot - 401 Almaden Boulevard (408) 794-1090 Open 24 hours 390 spaces *Market / San Carlos - 298 S. Market Street at San Carlos (408) 295-1387 120 spaces","2024-10-22"
